variation_id,run_number,crn_seed,final_status,years_survived,final_population,final_resources,final_health,distance_covered,disease_outbreaks,overcrowding_events,critical_rationing,normal_rationing,min_resources,max_resources,mean_resources,std_resources,total_weight,initial_population,ship_capacity,initial_resources,birth_rate,death_rate,resource_gen_rate,lightspeed_fraction,health_index,diff_initial_population,diff_ship_capacity,diff_initial_resources,diff_birth_rate,diff_death_rate,diff_resource_gen_rate,diff_lightspeed_fraction,diff_health_index
base,36,78,Success,720,15,1820.5616755537872,107.80000000000001,40161613694976.07,35,2,91,147,653.600696552995,107816.57016869058,17095.307124385203,23866.40351691451,69595.3071243852,1000,1050,100000,9.4,3.7,102.0,0.0059,100,0,0,0,0.0,0.0,0.0,0.0,0
base,37,79,Failed,662,0,182.1604070837763,100.0,36926372591769.85,48,2,99,153,79.51252161781886,104354.83005340936,17243.012687841707,23367.954587813503,69743.0126878417,1000,1050,100000,9.4,3.7,102.0,0.0059,100,0,0,0,0.0,0.0,0.0,0.0,0
base,38,80,Success,720,1,146.93864706026108,107.80000000000001,40161613694976.07,35,2,85,176,141.68701329359186,99085.83157780004,18832.136926048155,23390.779798548287,71332.13692604816,1000,1050,100000,9.4,3.7,102.0,0.0059,100,0,0,0,0.0,0.0,0.0,0.0,0
base,39,81,Success,720,1,116.89034835308425,86.24,40161613694976.07,32,2,96,153,116.89034835308425,115304.07142626397,14799.71219282269,23094.467079564427,67299.71219282268,1000,1050,100000,9.4,3.7,102.0,0.0059,100,0,0,0,0.0,0.0,0.0,0.0,0
base,40,82,Success,720,16,1538.8596309668983,88.2,40161613694976.07,31,2,86,217,1081.8081335573656,99763.80784921236,16541.481422778434,21918.78170114565,69041.48142277844,1000,1050,100000,9.4,3.7,102.0,0.0059,100,0,0,0,0.0,0.0,0.0,0.0,0
base,41,83,Success,720,1,115.09587251041839,107.80000000000001,40161613694976.07,31,2,85,140,104.55596737038304,80706.34997955637,13595.16960483078,19109.971397064226,66095.16960483078,1000,1050,100000,9.4,3.7,102.0,0.0059,100,0,0,0,0.0,0.0,0.0,0.0,0
base,42,84,Success,720,14,1664.9072584288201,107.80000000000001,40161613694976.07,35,2,88,197,1098.4071548041024,90272.85792324043,16465.244885787586,20175.618076061983,68965.24488578759,1000,1050,100000,9.4,3.7,102.0,0.0059,100,0,0,0,0.0,0.0,0.0,0.0,0
base,43,85,Success,720,3,328.24605613891566,107.80000000000001,40161613694976.07,35,2,93,191,328.24605613891566,120491.86562461482,20814.63086092054,26375.68319540947,73314.63086092054,1000,1050,100000,9.4,3.7,102.0,0.0059,100,0,0,0,0.0,0.0,0.0,0.0,0
base,44,86,Success,720,4,394.38964182994187,107.80000000000001,40161613694976.07,34,2,87,192,370.7954652795886,104075.30044635836,21793.287317724633,27581.890226064294,74293.28731772464,1000,1050,100000,9.4,3.7,102.0,0.0059,100,0,0,0,0.0,0.0,0.0,0.0,0
base,45,87,Success,720,1,73.76312142505546,75.46,40161613694976.07,36,2,93,146,73.76312142505546,100492.98328178069,18386.136230647237,21852.836611937026,70886.13623064724,1000,1050,100000,9.4,3.7,102.0,0.0059,100,0,0,0,0.0,0.0,0.0,0.0,0
