ship_capacity,initial_resources,resource_gen_rate,weight_mean,weight_std,success_rate,avg_resources_mean,avg_resources_std,final_pop_mean,final_pop_std,efficiency_ratio
1050,125000,104.0,92686.97,9922.83,100.0,40186.97,9922.83,121.05,84.99,0.001078900302814948
1050,125000,105.0,115963.38,12485.27,100.0,63463.38,12485.27,377.83,209.03,0.0008623411977125882
1050,130000,95.0,65894.91,1562.21,0.0,13394.91,1562.21,0.0,0.0,0.0
1050,130000,96.0,66125.16,1607.86,0.0,13625.16,1607.86,0.0,0.0,0.0
1050,130000,97.0,66284.45,1742.32,0.0,13784.45,1742.32,0.0,0.0,0.0
1050,130000,98.0,66612.86,1803.58,0.0,14112.86,1803.58,0.0,0.0,0.0
1050,130000,99.0,66751.89,2022.32,0.0,14251.89,2022.32,0.0,0.0,0.0
1050,130000,100.0,66662.64,2096.18,1.0,14162.64,2096.18,0.03,0.3,1.5000906054725705e-05
1050,130000,101.0,67287.97,2509.1,27.0,14787.97,2509.1,0.98,2.16,0.0004012604333285727
1050,130000,102.0,70390.05,3645.9,86.0,17890.05,3645.9,7.3,6.33,0.0012217635873251972
1050,130000,103.0,78265.03,5850.06,100.0,25765.03,5850.06,31.62,21.37,0.0012777098533022985
1050,130000,104.0,92658.91,9561.15,100.0,40158.91,9561.15,120.87,85.56,0.0010792270273846302
1050,130000,105.0,115961.03,12640.5,100.0,63461.03,12640.5,379.08,211.22,0.0008623586734267538
1075,90000,95.0,66716.45,1647.38,0.0,12966.45,1647.38,0.0,0.0,0.0
1075,90000,96.0,66958.08,1686.36,0.0,13208.08,1686.36,0.0,0.0,0.0
1075,90000,97.0,67143.13,1782.96,0.0,13393.13,1782.96,0.0,0.0,0.0
1075,90000,98.0,67486.16,1810.58,0.0,13736.16,1810.58,0.0,0.0,0.0
1075,90000,99.0,67620.8,1911.85,0.0,13870.8,1911.85,0.0,0.0,0.0
1075,90000,100.0,67616.5,2049.53,2.0,13866.5,2049.53,0.04,0.28,2.9578579192948465e-05
1075,90000,101.0,68394.92,2471.75,26.0,14644.92,2471.75,0.95,2.68,0.0003801451920698204
1075,90000,102.0,71474.65,3627.9,88.0,17724.65,3627.9,7.64,6.6,0.0012312057491712099
1075,90000,103.0,79414.98,6365.04,100.0,25664.98,6365.04,29.78,19.79,0.0012592082753153122
1075,90000,104.0,94553.11,11285.26,100.0,40803.11,11285.26,123.37,91.62,0.0010576066720597557
1075,90000,105.0,117505.15,14087.03,100.0,63755.15,14087.03,379.63,206.19,0.0008510265294755167
1075,95000,95.0,66750.86,1508.16,0.0,13000.86,1508.16,0.0,0.0,0.0
1075,95000,96.0,67054.11,1630.26,0.0,13304.11,1630.26,0.0,0.0,0.0
1075,95000,97.0,67161.65,1731.67,0.0,13411.65,1731.67,0.0,0.0,0.0
1075,95000,98.0,67603.27,1886.45,0.0,13853.27,1886.45,0.0,0.0,0.0
1075,95000,99.0,67788.67,2116.84,0.0,14038.67,2116.84,0.0,0.0,0.0
1075,95000,100.0,67681.5,2242.05,1.0,13931.5,2242.05,0.03,0.3,1.4775086249565981e-05
1075,95000,101.0,68259.14,2399.29,25.0,14509.14,2399.29,1.01,2.97,0.00036625131813849396
1075,95000,102.0,71570.17,3626.2,88.0,17820.17,3626.2,8.07,6.64,0.0012295625398123268
1075,95000,103.0,79234.63,6103.85,100.0,25484.63,6103.85,31.18,22.36,0.001262074423771525
